"venta_id","cliente_id","producto","categoria","estado_envio","monto","fecha"
"1","2"," Mouse ","Perifericos","Retrasado","$15.730","2026-01-02"
"2","3","TECLADO","Mobiliario","En ruta","$16.460,00","2026-01-03"
"3","4","Monitor","Tecnologia","Entregado","$17.190,00","2026-01-04"
"4","5","USB C Hub","Perifericos","Retrasado","$17.920,00","2026-01-05"
"5","6","Silla","Mobiliario","En ruta","$18.650,00","2026-01-06"
"6","7","Laptop","Tecnologia","Entregado","$19.380,00","2026-01-07"
"7","8"," Mouse ","Perifericos","Retrasado","$20.110,00","2026-01-08"
"8","9","TECLADO","Mobiliario","En ruta","$20.840,00","2026-01-09"
"9","10","Monitor","Tecnologia","Entregado","$21.570,00","2026-01-10"
"10","11","USB C Hub","Perifericos","Retrasado","$22.300,00","2026-01-11"
"11","12","Silla","Mobiliario","En ruta","$23.030,00","2026-01-12"
"12","13","Laptop","Tecnologia","Entregado","$23.760,00","2026-01-13"
"13","14"," Mouse ","Perifericos","Retrasado","$24.490,00","2026-01-14"
"14","15","TECLADO","Mobiliario","En ruta","$25.220,00","2026-01-15"
"15","16","Monitor","Tecnologia","Entregado","$25.950,00","2026-01-16"
"16","17","USB C Hub","Perifericos","Retrasado","$26.680,00","2026-01-17"
"17","18","Silla","Mobiliario","En ruta","$27.410,00","2026-01-18"
"18","19","Laptop","Tecnologia","Entregado","$28.140,00","2026-01-19"
"19","20"," Mouse ","Perifericos","Retrasado","$28.870,00","2026-01-20"
"20","21","TECLADO","Mobiliario","En ruta","$29.600,00","2026-01-21"
"21","22","Monitor","Tecnologia","Entregado","$30.330,00","2026-01-22"
"22","23","USB C Hub","Perifericos","Retrasado","$31.060,00","2026-01-23"
"23","24","Silla","Mobiliario","En ruta","$31.790,00","2026-01-24"
"24","25","Laptop","Tecnologia","Entregado","$32.520,00","2026-01-25"
"25","26"," Mouse ","Perifericos","Retrasado","$33.250,00","2026-01-26"
"26","27","TECLADO","Mobiliario","En ruta","$33.980,00","2026-01-27"
"27","28","","Tecnologia","Entregado","$34.710,00","2026-01-28"
"28","29","USB C Hub","Perifericos","Retrasado","$35.440,00","2026-01-29"
"29","30","Silla","Mobiliario","En ruta","$36.170,00","2026-01-30"
"30","31","Laptop","Tecnologia","Entregado","$36.900,00","2026-01-31"
"31","32"," Mouse ","Perifericos","Retrasado","$37.630,00","2026-02-01"
"32","33","TECLADO","Mobiliario","En ruta","$38.360,00","2026-02-02"
"33","34","Monitor","Tecnologia","Entregado","","2026-02-03"
"34","35","USB C Hub","Perifericos","Retrasado","$39.820,00","2026-02-04"
"35","36","Silla","Mobiliario","En ruta","$40.550,00","2026-02-05"
"36","37","Laptop","Tecnologia","Entregado","$41.280,00","2026-02-06"
"37","38"," Mouse ","Perifericos","Retrasado","$42.010,00","2026-02-07"
"38","39","TECLADO","Mobiliario","En ruta","$42.740,00","2026-02-08"
"39","40","Monitor","Tecnologia","Entregado","$43.470,00","2026-02-09"
"40","41","USB C Hub","Perifericos","Retrasado","$44.200,00","2026-02-10"
"41","","Silla","Mobiliario","En ruta","$44.930,00","2026-02-11"
"42","43","Laptop","Tecnologia","Entregado","$45.660,00","2026-02-12"
"43","44"," Mouse ","Perifericos","Retrasado","$46.390,00","2026-02-13"
"44","45","TECLADO","Mobiliario","En ruta","$47.120,00","2026-02-14"
"45","46","Monitor","Tecnologia","Entregado","$47.850,00","2026-02-15"
"46","47","USB C Hub","Perifericos","Retrasado","$48.580,00","2026-02-16"
"47","48","Silla","Mobiliario","En ruta","$49.310,00","2026-02-17"
"48","49","Laptop","Tecnologia","Entregado","$50.040,00","2026-02-18"
"49","50"," Mouse ","Perifericos","Retrasado","$50.770,00","2026-02-19"
"50","51","TECLADO","Mobiliario","En ruta","$51.500,00","2026-02-20"
"51","52","Monitor","Tecnologia","Entregado","$52.230,00","2026-02-21"
"52","53","USB C Hub","Perifericos","Retrasado","$52.960,00","2026-02-22"
"53","54","Silla","Mobiliario","En ruta","$53.690,00","2026-02-23"
"54","55","","Tecnologia","Entregado","$54.420,00","2026-02-24"
"55","56"," Mouse ","Perifericos","Retrasado","$55.150,00","2026-02-25"
"56","57","TECLADO","Mobiliario","En ruta","$55.880,00","2026-02-26"
"57","58","Monitor","Tecnologia","Entregado","$56.610,00","2026-02-27"
"58","59","USB C Hub","Perifericos","Retrasado","$57.340,00","2026-02-28"
"59","60","Silla","Mobiliario","En ruta","$58.070,00","2026-03-01"
"60","61","Laptop","Tecnologia","Entregado","$58.800,00","2026-03-02"
"61","62"," Mouse ","Perifericos","Retrasado","$59.530,00","2026-03-03"
"62","63","TECLADO","Mobiliario","En ruta","$60.260,00","2026-03-04"
"63","64","Monitor","Tecnologia","Entregado","$60.990,00","2026-03-05"
"64","65","USB C Hub","Perifericos","Retrasado","$61.720,00","2026-03-06"
"65","66","Silla","Mobiliario","En ruta","$62.450,00","2026-03-07"
"66","67","Laptop","Tecnologia","Entregado","","2026-03-08"
"67","68"," Mouse ","Perifericos","Retrasado","$63.910,00","2026-03-09"
"68","69","TECLADO","Mobiliario","En ruta","$64.640,00","2026-03-10"
"69","70","Monitor","Tecnologia","Entregado","$65.370,00","2026-03-11"
"70","71","USB C Hub","Perifericos","Retrasado","$66.100,00","2026-03-12"
"71","72","Silla","Mobiliario","En ruta","$66.830,00","2026-03-13"
"72","73","Laptop","Tecnologia","Entregado","$67.560,00","2026-03-14"
"73","74"," Mouse ","Perifericos","Retrasado","$68.290,00","2026-03-15"
